Country Code,le_1990,le_2023,gdp_1990,gdp_2023,pop_1990,pop_2023,Country,OWID Region,Color
KGZ,68.2975609756098,72.2487804878049,6095.68108610235,6403.14308780476,4391236,7099750,Kyrgyzstan,Asia,green
PRY,67.341,73.844,9962.48027842986,15783.1150120746,4035747,6844146,Paraguay,South America,red
NIC,62.473,74.947,4183.01713355202,7486.94276222499,4162559,6823613,Nicaragua,North America,cyan
BGR,71.6414634146342,75.7073170731707,14955.0426448692,33141.7699179908,8718289,6446596,Bulgaria,Europe,blue
SLV,61.981,72.099,5976.01762522026,11404.3342262685,5399726,6309624,El Salvador,North America,cyan
COG,57.07,65.772,8699.52683870615,6172.28776650683,2380560,6182885,Congo,Africa,yellow
DNK,74.8053658536585,81.8536585365854,45821.0806503851,71454.5209268281,5140939,5946952,Denmark,Europe,blue
SGP,75.2951219512195,82.8951219512195,45371.0069019267,127543.55475211,3047132,5917648,Singapore,Asia,green
FIN,74.8131707317073,81.6853658536585,38785.0708768205,56505.8386553095,4986431,5583911,Finland,Europe,blue
NOR,76.5373170731707,83.1121951219512,57106.8839554335,90241.6304492935,4241473,5519594,Norway,Europe,blue
LBR,37.644,62.163,1866.40548125833,1616.92373356695,2223667,5493031,Liberia,Africa,yellow
SVK,70.9326829268293,78.0170731707317,17520.9989978255,39207.1817838701,5299187,5426740,Slovakia,Europe,blue
IRL,74.8460731707317,82.8609756097561,29593.9227199518,115505.338456686,3513974,5307600,Ireland,Europe,blue
NZL,75.3780487804878,83.0048780487805,30685.2115275109,48562.7047163743,3329800,5223100,New Zealand,Oceania,magenta
CAF,49.854,57.408,1481.25255094258,1135.13627681714,2871910,5152421,Central African Republic,Africa,yellow
CRI,76.094,80.799,10953.4262046389,25979.6286150717,3121706,5105525,Costa Rica,North America,cyan
OMN,69.012,80.031,35201.5524871089,38311.4183413339,1763954,5049269,Oman,Asia,green
MRT,58.087,68.484,5519.61034144322,6258.71091329181,1951878,5022441,Mauritania,Africa,yellow
KWT,73.4171463414634,83.1878048780488,38737.2096391656,46458.2004898213,1684819,4853420,Kuwait,Asia,green
PAN,71.266,79.594,11335.9353672029,35863.880148831,2455583,4458759,Panama,North America,cyan
HRV,72.1704878048781,78.4731707317073,23399.7424980871,41137.5357630247,4777368,3859686,Croatia,Europe,blue
GEO,68.679,74.496,12917.0944269361,22590.5293543813,4802000,3715483,Georgia,Asia,green
MNG,58.8011951219512,72.1224390243902,6637.81926731198,16222.8638898529,2098710,3481145,Mongolia,Asia,green
URY,72.994,78.138,14106.5275016241,31019.3113912098,3104403,3388081,Uruguay,South America,red
PRI,72.827,81.69,26738.8144405273,42994.7856404917,3537000,3205691,Puerto Rico,North America,cyan
BIH,71.509,77.85,2413.3000950881,19847.2700308914,4448652,3185073,Bosnia and Herzegovina,Europe,blue
ARM,67.5493658536585,77.4658536585366,6137.60045786761,19230.1899296884,3552128,2990900,Armenia,Asia,green
